id,peer1,peer2
1,joramuns,jeanicet
2,joramuns,howieter
3,joramuns,sallieam
4,joramuns,butterbs
5,joramuns,tangleto
6,joramuns,squintad
7,joramuns,jolteona
8,joramuns,kokoschk
9,joramuns,santobab
10,jeanicet,howieter
11,jeanicet,sallieam
12,jeanicet,butterbs
13,jeanicet,tangleto
14,jeanicet,squintad
15,jeanicet,jolteona
16,jeanicet,kokoschk
17,jeanicet,santobab
18,howieter,sallieam
19,howieter,butterbs
20,howieter,tangleto
21,howieter,squintad
22,howieter,jolteona
23,howieter,kokoschk
24,howieter,santobab
25,sallieam,butterbs
26,sallieam,tangleto
27,sallieam,squintad
28,sallieam,jolteona
29,sallieam,kokoschk
30,sallieam,santobab
31,butterbs,tangleto
32,butterbs,squintad
33,butterbs,jolteona
34,butterbs,kokoschk
35,butterbs,santobab
36,tangleto,squintad
37,tangleto,jolteona
38,tangleto,kokoschk
39,tangleto,santobab
40,squintad,jolteona
41,squintad,kokoschk
42,squintad,santobab
43,jolteona,kokoschk
44,jolteona,santobab
45,kokoschk,santobab
