id,checking_peer,checked_peer,point_count
1,chanrosa,santobab,5
2,chanrosa,joramuns,2
3,chanrosa,jeanicet,4
4,chanrosa,jolteona,6
5,chanrosa,howieter,1
6,chanrosa,sallieam,1
7,chanrosa,kokoschk,3
8,chanrosa,squintad,4
9,chanrosa,butterbs,4
10,chanrosa,tangleto,3
11,santobab,chanrosa,1
13,santobab,jeanicet,8
14,santobab,jolteona,1
15,santobab,howieter,1
16,santobab,sallieam,3
17,santobab,kokoschk,4
18,santobab,squintad,2
19,santobab,butterbs,7
20,santobab,tangleto,5
21,joramuns,chanrosa,4
22,joramuns,santobab,4
23,joramuns,jeanicet,2
24,joramuns,jolteona,3
25,joramuns,howieter,2
26,joramuns,sallieam,6
27,joramuns,kokoschk,1
28,joramuns,squintad,5
29,joramuns,butterbs,1
30,joramuns,tangleto,2
12,santobab,joramuns,3
